Company Name,Website,Email,Phone,Address,Category,Notes
"5nnd","","","07081999906","1st Avenue, Gwarinpa, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Aghas Homes","","","08062760899","Ikeja, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Aikonic Properties","","","08039999249","Ahmadu Bello Way, Mabushi, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Akpala And Obuhor Concept Ltd","","","09034515295, 09034515295","Suite 3 Legion House Opp Uba Area 3 Garki Abuja, Garki, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Anchor Shelters Ltd","https://AnchorShelters.estateagentsng.com","","07033694439, 08026163271","Plot 31a Amac/aco Estate Road, Off Airport Road, Lugbe, Fct Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Apple Properties","https://appleproperties.estateagentsng.com","","08025286152","Block 82 Plot 1, 2, 3549, 3550 Ican Junction, Amuwo Odofin, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Arc Homes","https://www.archomesrealestate.com","","08124488819, 08092391555","3rd Floor, Lennox Mall, Admiralty Way, Lekki Phase 1, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Aso Realty Limited","","","08034109687","C1 Amaka's Mall, 9 San Zangon Daura Street, Guzape, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Avitro Real Estate Projects Limited","https://avitrogroup.estateagentsng.com","","08175981909, 08175981924, 08175981924, 08084096993","45, Odunlami Street, Lagos Island, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Azed Realty Mshel Homes Limited","","","08063075730, 08063075730","No. 2. Julius Adelusi Street, Guzape, Abuja., Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Bb Davids Global Construction Limited","","","08069831720","F8b Sunnyvale Estate, Lokogoma, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Belcanto Residence","","","+2348148793106","52 Nile Street Maitama,abuja., Abuja Nigeria, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Bighomes","http://www.thebighomes.com","","09114444010, 09114444011, 08182060000","Usuma, Maitama, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Britari Properties Limited","https://britariproperties.com","","08056509611, 07083022514","Suite 307a Beta Foundation Plaza, Plot 359 Ebitu Ukiwe Street, Jabi, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Byamy Homes Limited","https://byamyhomes.estateagentsng.com","","+2349110111100","1338 Leo Stan Ekeh Way, Garki, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"C2q Property Investment Co Ltd","","","08058916889","Wise Zone 5, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Cags Properties Ltd","https://tinyurl.com/CAGS-Luxurious-Properties","","+2348063841911","Boi, Central Business District, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Cgod Construction Ltd","","","08085748718, 08085748718, 08068911312","Apo Mechanic Estate, Apo, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Crown Luxury Properties","","","+2349099997342, 09010677777","No 1 Crown Luxury Estate Lugbe By Trademore Abuja, Abuja, Federal Capital Territory, Nigeria","Developer","Nigeria Property Centre profile"
"Crownprince Properties Development Limited","https://crownprinceproperties.estateagentsng.com","","08107674957","Suite C94b, Lungi Barracks Shopping Centre, Maitama , Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Darite Homes","https://www.facebook.com/daritehomes22","","08127310696","Kubwa, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Davisma Concepts Ltd","https://davismaconceptsltd.estateagentsng.com","","+2348028294386, 2348099727472","7,embassy Close, Voera Estate, Arepo, Ogun, Nigeria","Developer","Nigeria Property Centre profile"
"Dee Properties","","","08068403432","Ademola Adetokunbo, Wuse 2, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Demark Integrated Projects Limited","http://www.demarkprojects.com","","07079219075","Suite 14,15 & 16 God's Own Plaza. No. 4 Takum Close Area 11, Garki, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Dittoholaris Limited","http://www.dittoholaris.com.ng","","+2349077226258, +2348168949905, +2347011250672","No 2, Obuasi Close, Off Ajesa Street, Wuse 2, Abuja, Wuse 2, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Diviano Home Deal","","","08075747413, 07044721795","No.12 Monrovia Street, Wise2 Abuja, Wuse, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Dmarvinoz Properties Ltd","https://dmarvinozproperties.estateagentsng.com","","09090971117, 08032261308","72/176 Ogui Road, Dayspring Bus-stop Ogui Road, Enugu., Nigeria","Developer","Nigeria Property Centre profile"
"Doki Realty","","","08168277300","Abdulrahaman Okene, Guzape, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Drekford Global Concept Limited","","","08071207696, 08122307630","541 Natasha Akpoti, Kado, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Eniji International Ltd","https://eniji.estateagentsng.com","","09030049035, 09030049035","Suite A67. Road 1, Ikota Shopping Complex,, Vgc, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Epaphrase Associates","","","08145445561, 08111212361","2 Trade More Estate Airport Road Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Excellent Square Investment Limited","http://www.excelenthomes.com","","08131803474","Opposite Heritage House, Wuse, Fct, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Faomo Property Development Company","","","08136022458","Plot 100, Adetokunboh Ademola, Wuse 2, Abuja, Fct., Maitama, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Flintstonehomes","","","09128356519, 09128356519","Efab Estate, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Future Grants Alliance Properties","https://www.futuregrants.com.ng/","","2348052797313","Plot9 Acci Business Park, Lugbe, Fcta, Nigeria","Developer","Nigeria Property Centre profile"
"Futurelandlords Realtors And Construction Limited","","","09069656035","Maitama Abuja, Abuja, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"G D Buildings And Engineering Limited","https://ganddbuildingsandengineeringlimited.estateagentsng.com","","08146650618","Plot 510, Anthony Ozodinobi, Wuye, Federal Capital Territory, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Geriko Limited","https://gerikolimited.estateagentsng.com","","09160593779, 09160593779, 07036313851","Plot 331 Vita Foam Bt Tran Und St, Dawaki, Ajuja, Nigeria","Developer","Nigeria Property Centre profile"
"Gidell Integrated Services Limited","https://gidellgroup.com","","08167433964, 08167433964, 08183902404","Plot 502 Dalaba Street, Off Michael Okpara Way, Wuse Zone 5, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Glovis Almonds Properties Ltd","https://glovisalmondspropertiesltd.estateagentsng.com","","08114399738, 08035049237, 09028967818, 08037348864","47b, Kumasi Crescent, Wuse 2, Wuse, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Gme","","","+2347042900008, +2347042900008, 08092776503","Abuja, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Goldmind Global Homes Nig Ltd","https://goldmindglobalhomes.estateagentsng.com","","07064844447, 07055558560, 07055558560, 07055558560","Suite 1-6, Business Throne Plaza, Plot 1092 Joseph Gomwalk Street, Gudu District, Abuja - Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Grealty Tech System","https://grealtytechsystem.estateagentsng.com","","08035922285","Flat 7 22 Road, Kado Estate, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Havens","","","07047000739","Havens Workspaces Olorunda Ibadan, Ibadan, Oyo, Nigeria","Developer","Nigeria Property Centre profile"
"Ingeniouscape Design Consultancy","","","08120303397","Shashilga Court, Jahi, Abuja (fct), Nigeria","Developer","Nigeria Property Centre profile"
"Ingens Premier Enterprise Limited","https://ingenspremierenterpriselimited.estateagentsng.com","","08060491531, 08060491531, 08060491531, 08060491531","Plot 22, Fha Nyanya Extension, Nyanya, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Jolancleo Nigeria Limited","http://www.mandamis.com","","09061999239, 08111401106","No. 26 Julius Nyerere Crescent After Dollar Pharmacy, Abuja., Asokoro, Federal Capital Territory Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Joyous Residents","","","07080871105, 08108848069","Garki, Fct, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Jusad Integrated Services Limited","https://Jusadintegratedserviceslimited.estateagentsng.com","","08033986775","Plot 7 Eket Close Area 8, Garki, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Kadexpam Worldwide Limited","https://kadexpamworldwideltd.com","","08100718519, 08181535855","House 11, Second Avenue, Citiscape Villa Plot 4851, Guzape Hills, Guzape, Abuja, Abuja Federal Capital Territory, Nigeria","Developer","Nigeria Property Centre profile"
"Kinchozi Enterprise","https://kinchozienterprise.estateagentsng.com","","+2348068452477, +2348023751192, +2348027206011, +2347085494242","No 1 Abiola Apoyin Street, Oral Estate, Ikota, Lekki, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Kingdom Dream Enterprise","","","08028761350, 07038675801","1 Terry Grillo Beckley Estate Abulegba, Abulegba, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Kuan Ng Ltd","","","08061254327","No 7 Ajaokuta Street Area 2 Garki Abuja, Abuja, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Lancelotrealty Builders Ltd","https://lancelotrealty.estateagentsng.com","","08167426402","1 Village Und Street Asokoro, Amac, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Landsjotter","","","08176245019, 08176245019, 08176245019, 08036766271","47 Ajose Adeaogun, Fct, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Landsjotter","","","09032220767, 09032220767","Suits 41 Lebrex Plaza 47 Ajose Adeogun Street, Utako, Utako, Nigeria","Developer","Nigeria Property Centre profile"
"Landsjotter","","","09162582354, 09162582354, 09162582354, 09162582354","Kuchiyako, Kuje, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Leamington Homes","https://www.leamingtoncollection.com/home","","0808886776","Aso Villa, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Lexsuites","","","08134284673","","Developer","Nigeria Property Centre profile"
"Lighthouse Property Managers Limited","https://lighthousepm.com.ng","","08111113547, 09088888784, 09088888784, 09088888784","Suite Ff 11 , Anafara Plaza 1st Avenue By Mib Gwarinpa Abuja, Gwarinpa, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Majenta Properties Abuja","","","08057767548, 08128800280","","Developer","Nigeria Property Centre profile"
"Mandamis Real Estate","","","09012078245","Suite Co5, Midland House, 5th Avenue, Gwarinpa, Abuja., Gwarinpa, Federal Capital Territory, Nigeria","Developer","Nigeria Property Centre profile"
"Mandamis Real Estate","","","08140355138","Tai Solarin Avenue, Gwarinpa, Federal Capital Territory, Nigeria","Developer","Nigeria Property Centre profile"
"Masterpiece Capital Limited","https://masterpiececapitalltd.com/","","07071322002, 09136327845, 09136327845","Plot 885, Ahmad Ibrahim Lawan Crescent, Off Ameyo Adadevoh Way, Jahi District, Fct-abuja, Nigeria","Developer","Nigeria Property Centre profile"
"M M Bricks Shelters Limited","https://www.mmbricksshelters.com","","07040008805, 08033325410, 07040008805","C06 Baraqa Mall 6th Avenue, Fct, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Mobile Point Properties Ltd","https://Mobile Point Properties Limited.estateagentsng.com","","08120917096, 09053893021, 07064518312","Shop No 23, Plot 955 E27 Awesome Plaza, Apo Abuja Und Str. Apo Resettlement One, Apo Resettlement, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"One Square Meters By Dantata Town Developers Ltd","https://onesqmbydantatatdl.estateagentsng.com","","09160344857","Plot 717 Audu Ogbe Street, Jabi, Fct Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Open Doors Consulting","https://opendoorsconsulting.estateagentsng.com","","08030880235, 08183454013","3 Omodara Street,, Opebi Ikeja, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Optimal Shelters Ltd","http://www.optimalshelter.com","","07069721018, 09154434033, 07074222888","Suite Cs 49, Hamonic Plaza, Plot 354 Mike Akhigbe Way, Jabi Abuja, Jabi, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Orech Properties Ltd","https://orechproperties.com/","","081222288890","22 T.o.s Benson Crescent, Utako, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Outright Homes Limited","","","08148424904, 07088455333, 08116425074","27 Mohammed Buhari Peace Court Estate Lokogoma Abuja, Abuja, Federal Capital Territory, Nigeria","Developer","Nigeria Property Centre profile"
"Paceview Homes Ltd","https://paceviewhomes.com","","09078629564","Suite Sf C9 Plot 158 Gimbia Street Area 11 Mall Of Dubia, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Paradice Abode Properties","","","08139432044, 07036010196","Pentville, Lokogoma, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Peplux Homes And Properties Ltd","http://www.valingtonproperties.ng","","07065473396","Suite Co1a Peace Plaza C, Besides Peace Park, No 39 Ajose Adeogun Street, Utako Abuja, Abuja, Fct Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Phantom Realties","https://phantom-realties-company-limited.realtornigeria.com","","08057478466","23 Tokunbo Ali Street, Ikeja, Lagos, Nigerian","Developer","Nigeria Property Centre profile"
"Prime Haven Properties","","","08104870332, 07016821031","Jabi Abuja, Fct, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Pyramid Estates Ltd","","","+2348023241500, +2347033432897, +2348034505351, +2347032702206","Pent House, Rock Of Ages Mall, Utako, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Raj Multichannel Ent","","","08069178482, 09045434805","[email&#160;protected] , Abuja","Developer","Nigeria Property Centre profile"
"Resilient Group","http://www.resilientshelters.com.ng","","08068840362","4 King Aj Turner Street Wuye Abuja, Wuye, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Savvy Real Estate Ltd","https://www.savvyre.com.ng","","+2347057692152, +2347046520062","22 Kumasi Crescent Wuse 2, Abuja, Federal Capital Territory, Nigeria","Developer","Nigeria Property Centre profile"
"Sell Fast Groups Limited","","","09036909332","Salbas Oil And Gas, Sabon Lugbe Opposite Aco Estate Airport Road Abuja, Abuja, Fct, Nigeria","Developer","Nigeria Property Centre profile"
"Seman Global","","","08187193164, 08187193164","Jabi, Abuja, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
"Siaca Royalle Ltd","https://siacaroyalleltd.estateagentsng.com","","+2347025004779, +2347025004779","17b Robert Nebolisa Agungi, Lekki, Lagos, Nigeria","Developer","Nigeria Property Centre profile"
"Simcha Innovations Ltd","","","08067634077, 08067634077, 08067634077, 08067634077","Lagos House, Central Area, Abuja, Nigeria","Developer","Nigeria Property Centre profile"
